species,latin_species,family,variety,origin_canada,edible
Eastern hemlock,Tsuga canadensis,hemlock,Conifer,Native,Inedible
Eastern red elderberry,Sambucus pubens,elderberry,Deciduous,Native,Inedible
Eastern redcedar,Juniperus virginiana,redcedar,Conifer,Native,Inedible
Eastern white pine,Pinus strobus,pine,Conifer,Native,Inedible
Eastern white cedar,Thuja occidentalis,cedar,Conifer,Native,Inedible
Engelmann spruce,Picea engelmannii,spruce,Conifer,Native,Inedible
English elm,Ulmus procera,elm,Deciduous,Naturalized,Inedible
English holly,Ilex aquifolium,none,Deciduous,Naturalized,Inedible
English oak,Quercus robur,oak,Deciduous,Naturalized,Edible
English walnut,Juglans regia,walnut,Deciduous,Introduced,Edible
English yew,Taxus baccata,yew,Conifer,Introduced,Inedible
European ash,Fraxinus excelsior,ash,Deciduous,Introduced,Inedible
European beech,Fagus sylvatica,beech,Deciduous,Introduced,Inedible
European black alder,Alnus glutinosa,alder,Deciduous,Naturalized,Inedible
European buckthorn,Rhamnus cathartica,buckthorn,Deciduous,Naturalized,Inedible
European cranberry viburnum,Viburnum opulus,cranberry,Deciduous,Naturalized,Edible
European euonymus,Euonymus europaeus,euonymus,Deciduous,Introduced,Inedible
European filbert,Corylus avellana,filbert,Deciduous,Introduced,Edible
European larch,Larix decidua,larch,Conifer,Naturalized,Inedible
European mountain ash,Sorbus aucuparia,mountain,Deciduous,Naturalized,Inedible
European white birch,Betula pendula,birch,Deciduous,Naturalized,Inedible
European white poplar,Populus alba,poplar,Deciduous,Introduced,Inedible
Fanleaf hawthorn,Crataegus flabellata,hawthorn,Deciduous,Native,Edible
Feltleaf willow,Salix alaxensis,willow,Deciduous,Native,Inedible
Fireberry hawthorn,Crataegus chrysocarpa,hawthorn,Deciduous,Native,Edible
Fleshy hawthorn,Crataegus succulenta,hawthorn,Deciduous,Native,Edible
Garry oak,Quercus garryana,oak,Deciduous,Native,Edible
Ginkgo,Ginkgo biloba,Ginkgo,Deciduous,Introduced,Inedible
Glossy buckthorn,Rhamnus frangula,buckthorn,Deciduous,Naturalized,Inedible
Golden Weeping willow,Salix alba var. vitellina cv. Pendula,willow,Deciduous,Introduced,Inedible
Golden willow,Salix alba var. vitellina,willow,Deciduous,Introduced,Inedible
Goldenchain tree,Laburnum x watereri,tree,Deciduous,Introduced,Inedible
Grand fir,Abies grandis,fir,Conifer,Native,Inedible
Gray birch,Betula populifolia,birch,Deciduous,Native,Inedible
Grecian Juniper,Juniperus excelsa,none,Conifer,Introduced,Inedible
Green alder,Alnus viridis ssp. crispa,alder,Deciduous,Native,Inedible
Green ash,Fraxinus pennsylvanica var. subintegerrima,ash,Deciduous,Native,Inedible
Hazel alder,Alnus serrulata,alder,Deciduous,Native,Inedible
Heartleaf willow,Salix eriocephala,willow,Deciduous,Native,Inedible
Himalayan Pine,Pinus Wallichiana,none,Conifer,Native,Inedible
Hinoki cypress,Chamaecyparis obtusa,cypress,Conifer,Introduced,Inedible
Honey locust,Gleditsia triacanthos,locust,Deciduous,Native,Edible
Hooker willow,Salix hookeriana,willow,Deciduous,Native,Inedible
Horsechestnut,Aesculus hippocastanum,Horsechestnut,Deciduous,Naturalized,Inedible
Hybrid white willow,Salix alba x S. fragilis,willow,Deciduous,Introduced,Inedible
Ironwood,Ostrya virginiana,Ironwood,Deciduous,Native,Inedible
Jack pine,Pinus banksiana,pine,Conifer,Native,Inedible
Jack's hybrid poplar,Populus xjackii,poplar,Deciduous,Native,Inedible
Japanese angelica tree,Aralia elata,none,Deciduous,Introduced,Inedible
Japanese Dogwood,Cornus officinalis,none,Deciduous,Introduced,Edible
Japanese flowering cherry,Prunus serrulata,flowering,Deciduous,Introduced,Inedible
Japanese larch,Larix kaempferi,larch,Conifer,Introduced,Inedible
Japanese maple,Acer palmatum,maple,Deciduous,Introduced,Inedible
Japanese Walnut,Juglans ailantifolia,none,Deciduous,Introduced,Edible
Japanese yew,Taxus cuspidata,yew,Conifer,Introduced,Inedible
Japanese zelkova,Zelkova serrata,zelkova,Deciduous,Introduced,Inedible
Japanese cedar,Cryptomeria japonica,cedar,Conifer,Introduced,Inedible
Katsura tree,Cercidiphyllum japonicum,tree,Deciduous,Introduced,Inedible
Kenai birch,Betula kenaica,birch,Deciduous,Native,Inedible
Kentucky coffeetree,Gymnocladus dioicus,coffeetree,Deciduous,Native,Inedible
Kousa dogwood,Cornus kousa,dogwood,Deciduous,Introduced,Edible
Lanceleaf cottonwood,Populus x acuminata,cottonwood,Deciduous,Native,Inedible
Largetooth aspen,Populus grandidentata,none,Deciduous,Native,Inedible
Laurel willow,Salix pentandra,willow,Deciduous,Introduced,Inedible
Lawson cypress,Chamaecyparis lawsoniana,cypress,Conifer,Introduced,Inedible
Limber pine,Pinus flexilis,pine,Conifer,Native,Inedible
Little leaf linden,Tilia cordata,linden,Deciduous,Introduced,Inedible
Littletree willow,Salix arbusculoides,willow,Deciduous,Native,Inedible
Lodgepole pine,Pinus contorta var. latifolia,pine,Conifer,Native,Inedible
Lombardy poplar,Populus nigra cv. Italica,poplar,Deciduous,Introduced,Inedible
London plane tree,Platanus x acerifolia,plane,Deciduous,Introduced,Inedible
Mackenzie willow,Salix prolixa,willow,Deciduous,Native,Inedible
Manitoba maple,Acer negundo,maple,Deciduous,Native,Inedible
Meadow willow,Salix petiolaris,willow,Deciduous,Native,Inedible
Monkey puzzle,Araucaria araucana,puzzle,Conifer,Introduced,Edible
Monterey Pine,Pinus radiata,none,Conifer,Native,Inedible
Mountain alder,Alnus incana ssp. tenuifolia,Mountain,Deciduous,Native,Inedible
Mountain hemlock,Tsuga mertensiana,Mountain,Conifer,Native,Inedible
Mountain maple,Acer spicatum,Mountain,Deciduous,Native,Inedible
Mountain paper birch,Betula cordifolia,paper,Deciduous,Native,Inedible
Mountain serviceberry,Amelanchier bartramiana,Mountain,Deciduous,Native,Edible
Mountain holly,Nemopanthus mucronatus,none,Deciduous,Native,Inedible
Mugho pine,Pinus mugo,pine,Conifer,Introduced,Inedible
Narrowleaf cottonwood,Populus angustifolia,cottonwood,Deciduous,Native,Inedible
Noble fir,Abies procera,fir,Conifer,Introduced,Inedible
Nordmann fir,Abies nordmanniana,fir,Conifer,Introduced,Inedible
Northern catalpa,Catalpa speciosa,catalpa,Deciduous,Introduced,Inedible
Northern hackberry,Celtis occidentalis,hackberry,Deciduous,Native,Edible
Northern pin oak,Quercus ellipsoidalis,pin,Deciduous,Native,Edible
Northern red ash,Fraxinus pennsylvanica var. austini,ash,Deciduous,Native,Inedible
Norway maple,Acer platanoides,maple,Deciduous,Naturalized,Inedible
Norway spruce,Picea abies,spruce,Conifer,Introduced,Inedible
Ohio buckeye,Aesculus glabra,buckeye,Deciduous,Native,Inedible
One seeded hawthorn,Crataegus monogyna,hawthorn,Deciduous,Naturalized,Edible
Oregon ash,Fraxinus latifolia,ash,Deciduous,Native,Inedible
Oriental cedar,Thuja orientalis,cedar,Conifer,Introduced,Inedible
Osage orange,Maclura pomifera,Osage,Deciduous,Introduced,Inedible
Pacific bayberry,Myrica californica,bayberry,Deciduous,Native,Edible
Pacific crab apple,Malus fusca,crab,Deciduous,Native,Edible
Pacific rhododendron,Rhododendron macrophyllum,rhododendron,Deciduous,Native,Inedible
Pacific serviceberry,Amelanchier florida,serviceberry,Deciduous,Native,Edible
Pacific willow,Salix lucida ssp. Lasiandra,willow,Deciduous,Native,Inedible
Pawpaw,Asimina triloba,Pawpaw,Deciduous,Native,Edible
Peachleaf willow,Salix amygdaloides,willow,Deciduous,Native,Inedible
Pear hawthorn,Crataegus calpodendron,hawthorn,Deciduous,Native,Edible
Pin cherry,Prunus pensylvanica,cherry,Deciduous,Native,Edible
Pin oak,Quercus palustris,oak,Deciduous,Native,Edible
Pitch pine,Pinus rigida,pine,Conifer,Native,Inedible
Plains cottonwood,Populus deltoides ssp. monilifera,cottonwood,Deciduous,Native,Inedible
Poison ivy,Toxicodendron radicans,ivy,Deciduous,Native,Inedible
Poison oak,Toxicodendron diversiloba,oak,Deciduous,Native,Inedible
Poison sumac,Toxicodendron vernix,sumac,Deciduous,Native,Inedible
Ponderosa pine,Pinus ponderosa,pine,Conifer,Native,Inedible
Pumpkin ash,Fraxinus profunda,ash,Deciduous,Native,Inedible
Purple osier willow,Salix purpurea,none,Deciduous,Introduced,Inedible
Pussy willow,Salix discolor,willow,Deciduous,Native,Inedible
Red alder,Alnus rubra,alder,Deciduous,Native,Inedible
Red ash,Fraxinus pennsylvanica,ash,Deciduous,Native,Inedible
Red fir,Abies magnifica,fir,Conifer,Introduced,Inedible
Red hickory,Carya glabra var. odorata,hickory,Deciduous,Native,Inedible
Red horsechestnut,Aesculus x carnea,horsechestnut,Deciduous,Introduced,Inedible
Red maple,Acer rubrum,maple,Deciduous,Native,Inedible
Red mulberry,Morus rubra,mulberry,Deciduous,Native,Edible
Red oak,Quercus rubra,oak,Deciduous,Native,Edible
Red pine,Pinus resinosa,pine,Conifer,Native,Inedible
Red spruce,Picea rubens,spruce,Conifer,Native,Inedible
Red Coast Elder,Sambucus callicarpa,none,Deciduous,Native,Edible
Redbud,Cercis canadensis,Redbud,Deciduous,Native,Inedible
Rock elm,Ulmus thomasii,elm,Deciduous,Native,Inedible
Rocky Mountain Douglas fir,Pseudotsuga menziesii var. glauca,fir,Conifer,Native,Inedible
Rocky Mountain juniper,Juniperus scopulorum,juniper,Conifer,Native,Inedible
Rosebay rhododendron,Rhododendron maximum,rhododendron,Deciduous,Introduced,Inedible
Roundleaf serviceberry,Amelanchier sanguinea,serviceberry,Deciduous,Native,Edible
Royalty Crab Apple,Malus 'Royalty',none,Deciduous,Native,Edible
Russian olive,Elaeagnus angustifolia,olive,Deciduous,Naturalized,Inedible
Sandbar willow,Salix exigua,willow,Deciduous,Native,Inedible
Saskatoon,Amelanchier alnifolia,Saskatoon,Deciduous,Native,Edible
Sassafras,Sassafras albidum,none,Deciduous,Native,Edible
Satiny willow,Salix pellita,willow,Deciduous,Native,Inedible
Saucer magnolia,Magnolia x soulangiana,magnolia,Deciduous,Introduced,Inedible
Savin juniper,Juniperus sabina,juniper,Conifer,Introduced,Inedible
Sawara cypress,Chamaecyparis pisifera,cypress,Conifer,Introduced,Inedible
Scarlet hawthorn,Crataegus coccinea,hawthorn,Deciduous,Native,Edible
Scarlet oak,Quercus coccinea,oak,Deciduous,Introduced,Edible
Scotch elm,Ulmus glabra,elm,Deciduous,Naturalized,Inedible
Scots pine,Pinus sylvestris,none,Conifer,Naturalized,Inedible
Scouler willow,Salix scouleriana,willow,Deciduous,Native,Inedible
Sea buckthorn,Hippophae rhamnoides,buckthorn,Deciduous,Introduced,Edible
Serbian spruce,Picea omorika,spruce,Conifer,Introduced,Inedible
Shagbark hickory,Carya ovata,hickory,Deciduous,Native,Edible
Shellbark hickory,Carya laciniosa,hickory,Deciduous,Native,Edible
Shining sumac,Rhus copallina,sumac,Deciduous,Native,Inedible
Shining willow,Salix lucida ssp. lucida,willow,Deciduous,Native,Inedible
Shore pine,Pinus contorta var. contorta,pine,Conifer,Native,Inedible
Showy mountain ash,Sorbus decora,mountain,Deciduous,Native,Inedible
